Sentence,Word_Count,Sentence_Length,Char_Count,DLP,Dot_Load_Ratio,OVL,Similar_Shape_Density,PSC_Density,Lexical_Difficulty,Homograph_Risk,Avg_Morphological_Complexity,Domain,Text_Class,Quadrant,Readability_Level_19,DLI,DLI_10
سرني يومًا وقال إنه قد عرض له حادث وكان أن عزم على مغادرة البلاد بلا عودة، وأنه، نظرًا لما يكنه لي من مودة وثقة، يريد أن يبيعني أجزاء من أراضيه ويترك الجزء المتبقي في عهدتي.,39,133,137,0.39,0.61,0.02,0.53,0.2,1.79,0.34,0.51,Arts & Humanities,Specialized,High BAREC / High DLI,12,8,3.6
ولا أخفيك أن هذا يوافقني ويشرفني، لكني أرغب في سماع رأيك قبل أن أقرر بشأنه.,17,59,61,0.49,0.75,0.0,0.61,0.15,1.8,0.2,0.6,Arts & Humanities,Specialized,Low BAREC / High DLI,10,8,3.6
سيدي الكوندي لوكانور - قال باترونيو - أنت في غنى عن مشورتي ونصحي، ,14,50,53,0.44,0.7,0.0,0.62,0.12,1.73,0.27,0.36,Arts & Humanities,Specialized,High BAREC / High DLI,12,6,2.7
ولكنك ما دمت تطلب رأيي، فها أنا أقوم بذلك نزولًا عند رغبتك.,14,45,47,0.38,0.51,0.02,0.51,0.22,2.17,0.17,0.5,Arts & Humanities,Specialized,Low BAREC / High DLI,10,7,3.2
في البداية لا بد أن أنبهك بأن ما قاله لك ذلك الذي تعتقدون أنه صديق لكم إنما ليختبركم فيه، ,20,70,71,0.41,0.6,0.0,0.5,0.21,1.79,0.21,0.58,Arts & Humanities,Specialized,High BAREC / High DLI,11,7,3.2
وهو شبيه بما حدث لأحد الملوك مع أحد مساعديه.,10,35,36,0.17,0.34,0.0,0.46,0.37,1.44,0.22,0.56,Arts & Humanities,Specialized,Low BAREC / Low DLI,8,5,2.3
رجاه الكوندي أن يحكى له ما حدث.,8,24,25,0.25,0.42,0.0,0.46,0.33,1.93,0.29,0.29,Arts & Humanities,Specialized,Low BAREC / Low DLI,10,5,2.3
سيدي - قال باترونيو - كان لأحد الملوك رجل من رعيته يثق به كل الثقة.,16,50,53,0.38,0.68,0.0,0.52,0.2,1.5,0.15,0.46,Arts & Humanities,Specialized,Low BAREC / High DLI,10,6,2.7
لكن البشر مجبولون على حسد الآخرين على ما لديهم من خيرات، وبهذا فقد حسده بقية الرعية على ما له من حظوة لدى الملك.,25,88,90,0.31,0.45,0.0,0.48,0.26,1.89,0.3,0.48,Arts & Humanities,Specialized,High BAREC / High DLI,13,7,3.2
وقد لجأوا إلى كل الحيل الممكنة لتعكير علاقتهما.,9,39,40,0.23,0.41,0.0,0.33,0.28,2.25,0.12,0.62,Arts & Humanities,Specialized,Low BAREC / Low DLI,10,5,2.3
كما اتهموه عند الملك بأشياء جمة، لكنهم لم ينجحوا في الإضرار بسمعته ولا أن يثيروا الملك في مسألة وفائه وإخلاصه.,22,89,91,0.28,0.44,0.0,0.37,0.28,2.23,0.15,0.6,Arts & Humanities,Specialized,High BAREC / Low DLI,12,5,2.3
لما سمع الملك هذا الكلام تناهبت قلبه الشكوك والظن السيئ في نوايا مساعده على العكس من كل المحاولات السابقة التي كانت تخفق بشكل دائم.,25,107,108,0.28,0.45,0.0,0.38,0.24,1.83,0.17,0.54,Arts & Humanities,Specialized,High BAREC / Low DLI,13,4,1.8
والإنسان الحازم يسعى للحسم في الأمور العظيمة قبل أن تضيع ويستحيل على المرء استرجاعها، ويفضل بالطبع اتقاء الشر والنأي عنه قبل الأوان.,24,109,111,0.31,0.48,0.0,0.49,0.17,2.45,0.18,0.82,Arts & Humanities,Specialized,High BAREC / High DLI,12,7,3.2
لذا فقد أخذ الملك يحتاط كثيرًا من مساعده منذ أن تناهبته الشكوك، لكنه لم يستقر رأيه على فعل شيء حتى يتبين الحقيقة من عدمها.,26,96,98,0.39,0.65,0.01,0.54,0.27,2.02,0.38,0.38,Arts & Humanities,Specialized,High BAREC / High DLI,13,8,3.6
أما المتآمرون، فقد نصحوه بأن يتحقق من قولهم بالحيلة، ,11,42,44,0.38,0.6,0.0,0.5,0.24,2.78,0.22,0.78,Arts & Humanities,Specialized,High BAREC / High DLI,12,9,4.1
وكان أن أشاروا عليه بما يفعل، وهو ما كان، وما عزم الملك على تنفيذه.,17,51,54,0.27,0.39,0.0,0.37,0.29,2.07,0.21,0.5,Arts & Humanities,Specialized,Low BAREC / Low DLI,10,5,2.3
بعد أيام قليلة اجتمع الملك بمساعده، وبدأ التلميح له في حديث طويل لا نهاية له بأنه قد تعب من الحياة الدنيا وأن كل شيء زائل، ,27,96,98,0.34,0.57,0.0,0.47,0.22,1.44,0.16,0.44,Arts & Humanities,Specialized,High BAREC / High DLI,12,6,2.7
واكتفى بتلك الإشارة في تلك المرة.,7,27,28,0.37,0.67,0.0,0.37,0.15,2.0,0.0,0.67,Arts & Humanities,Specialized,Low BAREC / Low DLI,8,4,1.8
وبعد أيام أخرى، حدثه مجددًا وقال له مرة أخرى وكأنه يكمل ما عناه في المرة الأولى، إن حياته وكل ما يحيط به بدأ يفقد اهتمامه.,28,94,97,0.27,0.43,0.01,0.41,0.3,1.98,0.08,0.52,Arts & Humanities,Specialized,High BAREC / Low DLI,12,5,2.3
عندما رأى الملك أن مساعده قد اقتنع بما قاله له فأخبره ذات يوم بأنه يسعى لمغادرة البلاد وأنه يبحث عن بلد آخر، حيث لا يعرفه أحد، ,28,99,101,0.31,0.46,0.0,0.54,0.26,1.88,0.23,0.58,Arts & Humanities,Specialized,High BAREC / High DLI,12,7,3.2
وهناك يبحث عن مكان منعزل وبعيد ويتوب عن كل ذنوبه ويسعى ليتوب عنه الرب ويباركه للفوز بحياة أبدية.,19,78,79,0.42,0.6,0.0,0.56,0.23,1.67,0.11,0.72,Arts & Humanities,Specialized,High BAREC / High DLI,14,8,3.6
عندما سمع المساعد قول الملك، حاول رده عن عزمه بكل الأسباب والأعذار الممكنة كي لا يقوم بما نوى عليه.,21,79,81,0.2,0.28,0.0,0.39,0.3,1.66,0.16,0.63,Arts & Humanities,Specialized,High BAREC / Low DLI,11,5,2.3
فأخبره من ضمن ما قال إنه لا يمكنه أن يتقرب أكثر من الرب بالتخلي عن رعيته الناعمين بفضله بالدعة والعدل، وهذا ما سيجلب عليهم الفتنة والنزاعات الأهلية، وهذا ما سيغضب الرب وتخرب بها البلاد، ,37,149,152,0.39,0.54,0.0,0.5,0.22,2.18,0.15,0.82,Arts & Humanities,Specialized,High BAREC / High DLI,14,8,3.6
كما أنه إذا لم يجد في كل ما قاله سببًا مقنعًا للرجوع عما اعتزم عليه، فليفكر ولو لمرة واحدة في أمر زوجته وابنه الصغير وما يتهدد حياتهما وأموالهما.,30,114,116,0.29,0.43,0.02,0.43,0.3,1.86,0.11,0.64,Arts & Humanities,Specialized,High BAREC / High DLI,13,6,2.7
فرد عليه الملك بأنه قد فكر بطريقة يحفظ بها مملكته من الفتن، وهو أن يترك الأمر بيد زوجته وابنه وبها تستمر رعيته على ولائها له.,27,99,101,0.34,0.51,0.0,0.49,0.26,1.84,0.28,0.76,Arts & Humanities,Specialized,High BAREC / High DLI,12,9,4.1
وأخبره بأنه يريد أن يترك الزوجة والابن تحت كفالته وعهدته على أن يسلم له أمور كل القلاع والمدن حتى لا يتمرد أحد على ابنه.,25,96,97,0.29,0.44,0.0,0.47,0.24,1.67,0.21,0.62,Arts & Humanities,Specialized,High BAREC / Low DLI,12,5,2.3
ثم عبر له عن رضائه بخدمته له وثقته الكبيرة فيه وأنه قد خصه بذلك لثقته به أكثر من أي شخص في العالم، خاصة أنه قد رباه بنفسه وقدم له الكثير مما هو عليه اليوم.,36,120,122,0.37,0.61,0.0,0.5,0.3,1.56,0.26,0.79,Arts & Humanities,Specialized,High BAREC / High DLI,13,9,4.1
كما أضاف الملك قائلًا إنه على يقين تمامًا بأنه حين يقرر العودة سيجد كل شيء قد تركه في عهدته على أحسن حال، ,23,81,82,0.32,0.53,0.02,0.51,0.26,1.86,0.18,0.36,Arts & Humanities,Specialized,High BAREC / High DLI,12,7,3.2
وإذا ما وافته المنية فهو على ثقة بأنه سيخدم الملكة بكل إخلاص وسيربي ابنه أحسن تربية، ويحافظ على سلامة المملكة وأمنها حتى يؤول الحكم إلى ابنه.,28,114,116,0.32,0.49,0.0,0.39,0.24,1.88,0.08,0.73,Arts & Humanities,Specialized,High BAREC / Low DLI,13,5,2.3
جاك لانغ,2,7,7,0.43,0.43,0.0,0.43,0.43,3.5,0.0,0.5,Arts & Humanities,Specialized,High BAREC / High DLI,12,7,3.2
بالتعاون مع فكتور سلامة,4,20,20,0.3,0.45,0.0,0.45,0.25,1.75,0.0,0.5,Arts & Humanities,Specialized,Low BAREC / Low DLI,5,4,1.8
اللغة العربية كنز فرنسا,4,20,20,0.45,0.6,0.0,0.55,0.15,1.25,0.25,0.5,Arts & Humanities,Specialized,High BAREC / Low DLI,11,5,2.3
ترجمة: معجب الزهراني,4,17,18,0.47,0.65,0.0,0.59,0.35,2.33,0.33,0.33,Arts & Humanities,Specialized,Low BAREC / High DLI,5,8,3.6
مراجعة: كاظم جهاد,4,14,15,0.29,0.36,0.0,0.43,0.5,1.0,0.0,0.0,Arts & Humanities,Specialized,Low BAREC / Low DLI,5,3,1.4
الفصل الأول,2,10,10,0.1,0.1,0.0,0.2,0.0,2.5,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,5,3,1.4
في عهد الاستشراق,3,14,14,0.36,0.71,0.0,0.64,0.14,3.33,0.33,0.33,Arts & Humanities,Specialized,High BAREC / High DLI,15,9,4.1
بدأت الترجمات لنصوص من العربية منذ العصر الوسيط، بجهود علماء يهود ومسيحيين، ,14,62,64,0.32,0.48,0.0,0.56,0.21,2.17,0.17,0.58,Arts & Humanities,Specialized,High BAREC / High DLI,12,6,2.7
وهذه شهادة على قدم العلاقة بين ثقافتينا.,8,33,34,0.45,0.82,0.0,0.52,0.18,1.71,0.43,0.43,Arts & Humanities,Specialized,Low BAREC / High DLI,8,9,4.1
وفي القرن الثاني عشر تصوّر الأب بطرس المبجل Pierre le Venerable، رئيس دير كلوني، أن محاربة المسلمين لا تتم بالسلاح بل على الأرضية الثقافية.,27,95,115,0.36,0.59,0.01,0.53,0.12,2.1,0.19,0.57,Arts & Humanities,Specialized,High BAREC / High DLI,12,6,2.7
لذا وجه إلى ترجمة القرآن، ,6,20,21,0.35,0.5,0.0,0.4,0.2,1.4,0.2,0.2,Arts & Humanities,Specialized,High BAREC / Low DLI,12,3,1.4
ومن هنا رأت النور عام 1143 أول ترجمة لاتينية لكتاب المسلمين المقدس والحروب الصليبية على أشدها.,17,74,79,0.31,0.51,0.0,0.43,0.18,2.2,0.2,0.67,Arts & Humanities,Specialized,High BAREC / High DLI,14,7,3.2
فرانسوا الأول، المدافع الأول عن العربية: خيار تكتيكي في البداية,12,52,54,0.35,0.54,0.0,0.48,0.13,2.3,0.1,0.6,Arts & Humanities,Specialized,High BAREC / Low DLI,11,5,2.3
وبعد أربعة قرون رفع أحد رجالات فرنسا الدراسات العربية ولغتها إلى مصاف الحقل الأكاديمي، ونعني الملك فرانسوا الأول.,20,94,96,0.27,0.38,0.0,0.49,0.16,2.42,0.11,0.56,Arts & Humanities,Specialized,High BAREC / Low DLI,14,5,2.3
"وكما ذكرت بذلك في السيرة التي خصصته بها كان فرانسوا الأول أحد السباقين إلى الدفاع عن لغة ابن رشد في وطننا وذلك بإنشائه ""معهد فرنسا"" (الكوليج دوفرانس) وفرضه تعلم العربية والعبرية بين لغات أخرى.",39,154,159,0.36,0.51,0.0,0.53,0.17,2.26,0.15,0.5,Arts & Humanities,Specialized,High BAREC / High DLI,12,7,3.2
نعم، لقد كان خياره تكتيكيًا في المقام الأول حيث كان في بداية حكمه يسعى، بصفته ملكًا وقائدًا، لارتداء عباءة المدافع عن العقيدة المسيحية، ,27,106,110,0.34,0.58,0.03,0.49,0.25,2.13,0.09,0.52,Arts & Humanities,Specialized,High BAREC / High DLI,14,6,2.7
لكن الوقائع لم تلبث أن حرفته عن مسعاه الأول.,10,35,36,0.26,0.4,0.0,0.43,0.26,2.94,0.44,0.44,Arts & Humanities,Specialized,High BAREC / High DLI,12,8,3.6
فالهزيمة التي ألحقتها به إمبراطورية شار لكان عام 1525 دفعته إلى عقد حلف مضاد مع قوة أوروبية أخرى قادرة، مع مملكة فرنسا، على محاصرة إسبانيا وهولندا وألمانيا، وكانت كلها تحت هيمنة خصمه، ,36,144,152,0.31,0.5,0.0,0.45,0.25,2.19,0.13,0.35,Arts & Humanities,Specialized,High BAREC / Low DLI,14,5,2.3
وهكذا اختار الإمبراطورية العثمانية التي كان يحكمها السلطان سليمان القانوني (1).,14,65,69,0.32,0.52,0.0,0.43,0.18,2.5,0.0,0.6,Arts & Humanities,Specialized,High BAREC / High DLI,12,6,2.7
ولكي لا يظهر الحلف الجديد مع بلد مسلم بمثابة خيانة قدم الملك مفاوضاته على أنها نابعة من رغبته في حماية المسيحيين اللاتين، من رعايا الدولة العثمانية.,28,121,123,0.37,0.59,0.0,0.47,0.24,2.1,0.23,0.42,Arts & Humanities,Specialized,High BAREC / High DLI,15,7,3.2
وفي العام 1536 وقع على الاتفاق ليكون أول وثيقة رسمية بين ملك فرنسا والسلطان العثماني، أرسل بعدها أول سفير لفرنسا بالقسطنطينية، وهو جان لا فوريست Jean La Forest.,31,114,133,0.35,0.55,0.0,0.53,0.12,2.4,0.25,0.42,Arts & Humanities,Specialized,High BAREC / High DLI,14,6,2.7
وبين عامي 1536 و1869 أضيف إليها لا أقل من عشر اتفاقيات كرست العلاقات المطردة بين فرنسا الملكية والدولة العثمانية.,21,86,95,0.37,0.64,0.0,0.48,0.14,2.64,0.22,0.44,Arts & Humanities,Specialized,High BAREC / High DLI,14,7,3.2
اللغة العربية رمز لتحديث التعليم في فرنسا منذ القرن السادس عشر ,11,52,52,0.38,0.63,0.0,0.62,0.15,2.05,0.27,0.55,Arts & Humanities,Specialized,High BAREC / High DLI,12,7,3.2
"ونظراً لتأثر فرانسوا الأول بالتيار الإصلاحي لعصر النهضة عمل على تحديث الحياة العلمية والأكاديمية، يساعده في ذلك مستشاره العالم غيوم بوديه Guillaume Bude، الذي أسس عام 1530 معهدًا خاصًا ""للمعلمين الملكيين"" سمي المعهد الملكي College royal، ",41,165,199,0.26,0.45,0.02,0.44,0.24,2.39,0.13,0.71,Arts & Humanities,Specialized,High BAREC / High DLI,14,6,2.7
وهو البذرة الأولى لمعهد كوليج دوفرانس الحالي.,8,38,39,0.21,0.29,0.0,0.37,0.18,2.36,0.0,0.71,Arts & Humanities,Specialized,Low BAREC / Low DLI,8,4,1.8
"إن نظام عملها اللاتيني الذي ينص على أنها ""تعلم كل شيء"" Docet omnia قد رسم لها هدفها بوضوح.",21,60,73,0.32,0.48,0.0,0.47,0.23,1.88,0.31,0.38,Arts & Humanities,Specialized,High BAREC / High DLI,12,6,2.7
فانفتحت على تعليم الإغريقية والرياضيات والبلاغة اللاتينية.,8,51,52,0.47,0.78,0.0,0.51,0.12,2.71,0.14,1.0,Arts & Humanities,Specialized,High BAREC / High DLI,14,9,4.1
هكذا دخلت العربية المعهد لأول مرة بفضل تعيين طبيب مستعرب متميز هو السيد آرنو دوليل (1)، وذلك عام 1587.,23,75,84,0.35,0.52,0.0,0.53,0.23,2.5,0.18,0.35,Arts & Humanities,Specialized,High BAREC / High DLI,12,6,2.7
وقد فهم بوديه سريعًا، وهو ممن ينظرون دومًا إلى الأبعد، أن التمكن من العربية يفتح الباب أمام معارف وأفكار فلسفية جديدة كانت تقدمها الحضارة الإسلامية القديمة.,29,126,129,0.34,0.52,0.02,0.48,0.21,1.88,0.15,0.62,Arts & Humanities,Specialized,High BAREC / High DLI,15,7,3.2
فلم يعد يكفي من وجهة نظر هذا المثقف الكبير، الإنسانوي النزعة، أن يتقن الطلاب الإغريقية واللاتينية، بل لا بد من تطوير مجالات معرفية جديدة، كالعبرية للبحث في العهد القديم، والعربية من أجل التمكن من الفلسفة والعلوم، لا سيما وأن بعض النصوص الأساسية حفظت بالعربية وفقدت أصولها باللغة الإغريقية.,55,235,242,0.41,0.63,0.0,0.51,0.16,2.32,0.21,0.67,Arts & Humanities,Specialized,High BAREC / High DLI,14,7,3.2
وفي عصر فرانسوا الأول ذاته قال الكاتب الإنسانوي الكبير فرانسوا رابليه، الذي يعد رمزًا من رموز عصر النهضة، إنه هو نفسه تعلم اللغة العربية ويطالب بتعليمها (وذلك تحديدًا عبر كلام شخصية بانتاغرويل Pantgruel الروائية وهو يتحدث إلى ابنه غارغانتوا Gargantua).,45,188,211,0.35,0.52,0.01,0.5,0.18,2.05,0.16,0.45,Arts & Humanities,Specialized,High BAREC / High DLI,15,7,3.2
ويفضل تشجيع أشخاص من كبار رجال المملكة مثل الكاردينال مازاران (1) Mazarin ونيكولا فوكيه (2) Nicola Fouquet، بدأ يظهر أوائل المستشرقين الذين نعموا برعاية خاصة من الملك حيث تحولت مكتبته إلى مختبر حقيقي يطوّر فيها الباحثون المعاجم والنحو ويبلورون ملاحظات أولى حول اللغات الشرقية كالتركية والفارسية.,52,221,249,0.36,0.59,0.0,0.47,0.2,2.23,0.1,0.49,Arts & Humanities,Specialized,High BAREC / High DLI,14,6,2.7
وهكذا تنوعت المقتنيات لتملأ تدريجيًا خزانة المخطوطات الشرقية.,9,52,53,0.46,0.79,0.02,0.54,0.17,3.0,0.0,0.62,Arts & Humanities,Specialized,High BAREC / High DLI,14,8,3.6
وهذه الكنوز الثمينة تشكل اليوم واحدة من أجمل مجموعات المخطوطات العربية في العالم، وهي محفوظة في مكتبة فرنسا الوطنية.,21,96,98,0.38,0.59,0.0,0.44,0.25,1.89,0.11,0.53,Arts & Humanities,Specialized,High BAREC / High DLI,12,7,3.2
وفي القرن السابع عشر، بدأ التعليم المنتظم للغة العربية يفرض نفسه في باريس، ,15,60,62,0.43,0.65,0.0,0.62,0.15,1.73,0.08,0.62,Arts & Humanities,Specialized,High BAREC / High DLI,12,6,2.7
وشهدت في تلك الفترة رهبانا مارونيين قادمين من لبنان لمواصلة دراساتهم العليا يتجولون في أوروبا الكاثوليكية، ,17,90,91,0.39,0.63,0.0,0.48,0.14,2.12,0.06,0.38,Arts & Humanities,Specialized,High BAREC / Low DLI,14,4,1.8
وبفضلهم بدأ تعليم العربية.,5,22,23,0.41,0.59,0.0,0.55,0.23,1.5,0.0,1.0,Arts & Humanities,Specialized,Low BAREC / High DLI,8,6,2.7
ومنطقي تمامًا أن يكون السؤال الديني حافزًا لهذا التعليم، لأن المجابهات بين الكاثوليك والبروتستانت كانت في ذروتها.,19,93,95,0.38,0.58,0.02,0.46,0.16,2.59,0.12,0.65,Arts & Humanities,Specialized,High BAREC / High DLI,12,8,3.6
سلسلة الحيوانات,2,14,14,0.29,0.5,0.0,0.43,0.07,1.0,0.0,0.5,STEM,Specialized,Low BAREC / Low DLI,6,2,0.9
ريبيكا ستوت,2,10,10,0.5,0.9,0.0,0.7,0.1,2.5,0.0,0.0,STEM,Specialized,Low BAREC / High DLI,7,6,2.7
المحار,1,6,6,0.0,0.0,0.0,0.33,0.33,3.0,0.0,1.0,STEM,Specialized,High BAREC / High DLI,12,6,2.7
التاريخ الطبيعي والثقافي,3,22,22,0.45,0.82,0.0,0.59,0.09,1.67,0.0,1.33,STEM,Specialized,High BAREC / High DLI,14,8,3.6
ترجمة: نوح إبراهيم,4,15,16,0.4,0.6,0.0,0.53,0.33,1.67,0.33,0.0,STEM,Specialized,High BAREC / High DLI,12,8,3.6
مراجعة: د. أحمد خريس,6,15,17,0.27,0.4,0.0,0.67,0.4,1.62,0.0,0.0,STEM,Specialized,High BAREC / Low DLI,13,5,2.3
1 - سيرة المحار,4,10,12,0.2,0.4,0.0,0.5,0.2,3.0,0.5,0.5,STEM,Specialized,Low BAREC / High DLI,7,7,3.2
المحار - من وجهة نظر علم الحيوان - حيوان رخوي، من دون عمود فقري، لكنه يملك صدفة خارجية.,21,65,70,0.37,0.52,0.0,0.54,0.29,1.88,0.25,0.31,STEM,Specialized,High BAREC / High DLI,12,7,3.2
ينتمي إلى الشعبة الحيوانية ذاتها، الرخويات، التي ينتمي إليها: بلح البحر والحلزون والإخطبوط والحبار أيضا.,19,86,90,0.37,0.59,0.0,0.48,0.14,2.53,0.0,0.8,STEM,Specialized,High BAREC / High DLI,14,7,3.2
ويصنف أيضا بدقة أكبر أنه ذو صدفتين، ما يعني أنه يملك صدفة ذات جزءين، مرتبطتين بواسطة رباط مفصلي مرن.,22,79,82,0.49,0.71,0.0,0.66,0.14,2.97,0.05,0.32,STEM,Specialized,High BAREC / High DLI,11,7,3.2
ولكن كيف نشأ؟,4,10,11,0.5,0.8,0.0,0.5,0.2,2.5,0.67,0.33,STEM,Specialized,Low BAREC / High DLI,8,8,3.6
كيف أصبح المحار محارًا؟,5,18,19,0.17,0.22,0.06,0.5,0.33,2.5,0.25,0.25,STEM,Specialized,Low BAREC / Low DLI,10,5,2.3
كم استغرق تطور هذه البنية الغريبة، الرقيقة والمعقدة، ضمن قالب من صدف قاس مبطن بعرق اللؤلؤ؟,19,72,75,0.42,0.64,0.0,0.56,0.17,1.97,0.25,0.44,STEM,Specialized,High BAREC / High DLI,12,7,3.2
تطور المحار,2,10,10,0.1,0.2,0.0,0.5,0.2,2.5,0.5,0.5,STEM,Specialized,High BAREC / High DLI,12,6,2.7
"يدعي ج. ج. سمبسون في كتابه ""معنى التطور"" أن محارًا يعود إلى مئتي مليون سنة أو أكثر، كان سيبدو مألوفًا جدًا إذا قدم في مطعم اليوم (2).",35,95,104,0.33,0.49,0.03,0.52,0.23,2.04,0.23,0.15,STEM,Specialized,High BAREC / Low DLI,12,5,2.3
لذا علينا أن نعود أبعد زمنيًا في سبيل تتبع بداياته التطورية، ,12,48,49,0.46,0.69,0.02,0.65,0.12,1.73,0.27,0.27,STEM,Specialized,High BAREC / High DLI,12,6,2.7
"يبدأ علماء الحيوان، في تخمينهم للجذور التطورية لأي كائن بمراقبة تطوره الجنيني؛ لأن دورة حياة الحيوان ""تلخص"" تاريخ تطوره نوعًا من ظل سلفي.",28,109,114,0.4,0.61,0.01,0.54,0.17,1.96,0.09,0.52,STEM,Specialized,High BAREC / High DLI,14,6,2.7
وليست مصادفة أن العديد من أجنة كائنات مختلفة، بما فيها البشر والمحار، تشبه كائنات بحرية لأن العديد من أشكال الحياة الأولى على الكوكب كانت مائية، خارجة من البحر البدائي، ,33,136,140,0.35,0.54,0.0,0.44,0.2,1.95,0.21,0.52,STEM,Specialized,High BAREC / High DLI,14,7,3.2
وخلافا للأنواع البرمائية المتزايدة، التي تزحف على الأرض متثاقلة المشي أو زاحفة إلى اليابسة الجافة، وجد المحار طريقة مثالية للتكاثر، والتغذية في قاع البحر.,28,127,131,0.39,0.66,0.0,0.45,0.14,2.02,0.08,0.71,STEM,Specialized,High BAREC / High DLI,12,6,2.7
ثم بعد ملايين السنين من الاصطفاء الطبيعي أتقنت ذلك تمامًا.,11,47,48,0.4,0.64,0.02,0.55,0.17,2.2,0.3,0.3,STEM,Specialized,High BAREC / High DLI,13,6,2.7
ينحدر المحار والرخويات الأخرى ذات الصدفتين من سلف مشترك، هو حيوان بحري أكثر امتلاء شبيه بالحلزون المعاصر.,19,87,89,0.32,0.52,0.0,0.54,0.2,2.62,0.24,0.41,STEM,Specialized,High BAREC / High DLI,12,8,3.6
"وكانت معظم عضلات هذا الحيوان المسؤولة عن الحركة متركزة في ما يشبه، مجموعة من الأرجل الخلفية التي تتحرك على قاع البحر مادا مجسات رأسه، مغربلًا ماء البحر، باحثًا عن الطعام بواسطة خيشوم مجوف قريب من ""قدمه"".",42,160,166,0.33,0.51,0.01,0.49,0.29,1.94,0.17,0.33,STEM,Specialized,High BAREC / High DLI,14,7,3.2
وتدريجيًا - وعلينا أن نتصور هنا الصورة المسرعة الممتدة على آلاف وملايين السنين مما قبل التاريخ - طور غطاء من الأنسجة شبيها بصدفة الحلزون المعاصر، ليحمي لحمه الرقيق.,30,132,136,0.33,0.52,0.01,0.5,0.18,2.17,0.19,0.65,STEM,Specialized,High BAREC / High DLI,12,7,3.2
وبعد انقضاء مزيد من الوقت - تطور هذا إلى صدفة مقببة.,12,40,42,0.42,0.62,0.0,0.55,0.12,2.3,0.2,0.3,STEM,Specialized,Low BAREC / Low DLI,8,5,2.3
يستطيع أن يتراجع برأسه، وقدمه إلى داخل هذه الصدفة إذا انتابه الخوف.,14,54,56,0.35,0.5,0.0,0.54,0.2,1.92,0.25,0.58,STEM,Specialized,High BAREC / High DLI,13,6,2.7
ثم بعد امتدادات زمنية خيالية انغلقت الصدفة الشبيهة بصدفة الحلزون منثنية على طول الخط المنصف حتى منتصف الظهر؛ ليشكل صدقتين.,22,101,103,0.46,0.74,0.0,0.57,0.16,2.17,0.2,0.45,STEM,Specialized,High BAREC / High DLI,14,8,3.6
"وفي هذه المرحلة استطاع ""المحار"" (إذا صحت تسميته هكذا) أن يمد ""قدمه"" عبر ضخ الدم فيه، وأن يمد رأسه مثل الحلزون أو السلحفاة، ",31,92,100,0.28,0.43,0.0,0.49,0.26,1.89,0.22,0.48,STEM,Specialized,High BAREC / High DLI,12,6,2.7
ولكن حين ازدادت سماكة صدفتيه بمرور الوقت، معززة آليته الدفاعية، أصبح رأسه وقدمه نافلين وضامرين.,18,78,81,0.37,0.56,0.0,0.55,0.19,2.63,0.07,0.73,STEM,Specialized,High BAREC / High DLI,12,8,3.6
وقد امتد تجويف الخيشوم، حول الحيوان كاملًا، فأصبح من الممكن أن يسحب المزيد والمزيد من الماء إلى جسده (3).,24,80,86,0.3,0.44,0.01,0.45,0.25,2.06,0.28,0.56,STEM,Specialized,High BAREC / Low DLI,11,5,2.3
وهكذا، لو قدم هذا على صحن في مطعم سيتم التعرف عليه على أنه محار.,16,49,51,0.24,0.37,0.0,0.51,0.35,1.68,0.36,0.36,STEM,Specialized,Low BAREC / High DLI,10,6,2.7
تؤكد بقايا المستحثات على تخمينات كهذه بشأن أصول المحار.,10,46,47,0.35,0.61,0.0,0.5,0.24,2.06,0.11,0.33,STEM,Specialized,High BAREC / High DLI,14,6,2.7
كانت الحيوانات الأولى على الأرض حيوانات مائية مجهرية وحيدة الخلية كالبكتيريا التي ظهرت قبل حوالي 3200 مليون سنة (في العصر البريكامبري Precambrian) وملأت البحار، ,27,119,137,0.35,0.58,0.0,0.46,0.17,2.05,0.14,0.5,STEM,Specialized,High BAREC / High DLI,14,7,3.2
وقبل حوالي 540 مليون سنة (أي في بداية العصر الكامبري Cambrian، المسمى بالحقبة الباليوزية Paleozoic)، طور ورثتها التي كانت لا تزال تعيش في البحر، هياكل عظمية خارجية حمت الأجزاء غير الحصينة من جسدها.,39,139,165,0.4,0.65,0.0,0.52,0.19,2.37,0.17,0.4,STEM,Specialized,High BAREC / High DLI,16,6,2.7
وقد مكن ذلك الدرع المجموعات المتنوعة.,7,31,32,0.26,0.39,0.0,0.42,0.32,2.5,0.17,0.67,STEM,Specialized,Low BAREC / High DLI,10,6,2.7
من التكاثر والتطور بسرعة كبيرة.,6,26,27,0.35,0.62,0.0,0.54,0.15,1.8,0.2,0.8,STEM,Specialized,High BAREC / High DLI,12,7,3.2
"إن الأكثر نجاحًا بين هذه الحيوانات ""المدرعة"" كانت مفصليات الأرجل (الحيوانات المقسمة ذات الهيكل العظمي الخارجي) التي عرفت بالتريلوبايت Trilobite، ",25,110,124,0.37,0.59,0.01,0.49,0.19,2.11,0.11,0.47,STEM,Specialized,High BAREC / High DLI,12,7,3.2
وكانت متنوعة بأشكال مختلفة، سمحت لها بالتكاثر في ظروف مختلفة حول العالم.,14,59,61,0.39,0.63,0.0,0.46,0.25,1.5,0.08,0.5,STEM,Specialized,Low BAREC / Low DLI,10,5,2.3
